"","link","usernames","user_locations","ratings","dates","text"
"1","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Heather A.","Columbus, OH",5,2008-07-13,"I have eaten Mexican food all over the US and in several other countries and cannot find any other place that is close to the overall experience of El Vaquero!  I am somewhat of a Mexican food addict so I feel adequately qualified to say that this place is doing a lot of things right!   Details down to the service, ease of ordering/ menu layout, freshness of chips, authenticity of the environment...it's all great!  The only drawback I have personally encountered has been the wait for seating  which can sometimes be up to 30 minutes if you go during peak times.  But, again, is yet another sign that they are doing something right!  Go. Go now. (and order the cheese dip...you won't be disappointed.)"
"2","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Jackie C.","Columbus, OH",4,2008-07-31,"A Columbus chain is not really much of a chain but, I digress.  I am a fan of this location; even when busy I never have to wait long for a seat. The service is always excellent and the patio is great in the summer and winter. The bar area is a bit cramped so if you elect to eat at the bar you will most likely bump into waiters/waitresses and people in the surrounding booths.Salsa is always perfect, refills are plenty and good eats are always had."
"3","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Nathan L.","Columbus, OH",4,2008-08-15,"El Vaq has become my favorite Mexican food.  Personally, i always have more fun at the Olentangy location, but that may have something to do with the people I have been dining with.  When my friends and I go to the Olentangy El Vaq we sit in the bar area and house margaritas.  I went to the Riverside Dr. El Vaq with the ex, not the restaurant's fault.While the interior of the place is probably nicer at Riverside, it certainly feels more authentic Mexican at Olentangy.  The food is killer.  Never had anything bad.  Sometimes the place is so authentic I have had problems asking my server a question about what exactly it is that I am ordering (little bit of a language barrier).  Fajitas are the same in any language, however, and you can't really go wrong there.  I also recommend the margaritas, by the pitcher.  Mmmm.....  cuervo........."
"4","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Bill C.","Columbus, OH",4,2008-09-22,"Folks, if you want to maximize your El Vaquero experience, there are 2 ingredients you must avoid:1) Ground Beef. It's cheap, bland and dry2) ""Shredded Chicken"" (with one exception detailed below) It's uninspired and bland.There are a few real gems on the El Vaq menu, so let me first start with my exception to the shredded hicken item: the Ckicken Tamale !!!The tamale is well done, seasoned masa steamed perfecty and then covered with that bland shredded chicken. HOWEVER!, the enchilada sauce that El Vaq smothers the tamale (and enchiladas) with is pure heaven! It has a noticable sweet-cinnamon tinge but with a deep and rich savory complexion. It really ties the nasa and chicken together and makes for the best tamale I've had in C-Bus.Also: A great value is found in the #158: El Mariscos. Shrimp and scallops perfectly sauteed and served on cheesy rice with a semi-spicy brown sauce. #143 (El Sinaloense) finds chicken strips (not the shredded chicken) well-seasoned w/cumin/coriander/chile powder atop a bed of deliciously greasy/spicy chorizo. Farmers cheese is melted over the lot and served w/tortillas for rolling your own.Try these 3 items, stay away from the abovementioned ingredients and I think you'll find El Vaq to be a great Mexican Experience!"
"5","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Josh Q.","Columbus, OH",1,2008-09-22,"This place is heinous.  I don't want to tout my ""I'm from southern California"" credentials too much, but seriously, go to Taco Bell instead."
"6","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Ellen F.","Columbus, OH",5,2008-12-05,"Love it, but oh my goodness do not try to go on a Friday night at 8pm .  I could barely open the door just to get in.  I don't know how long the wait was, I went straight for the bar to see if there were any seats.  Silly me.  I did get to see the best bartender ever: David.  Sweet as can be and very accurate drink making skills!I love El Vaq for what it is.  It's quick, it's consistent, and the margarita's (Texas Gold) will knock you down if you allow them too.  I'm usually open to the offer."
"7","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Aisha M.","Washington, DC",3,2008-12-07,"I like finding local stuff on business trips. We stopped in here and I knew I was in the right place. I felt like I was in Southern California ranch. The service was adequate. The food was just okay as my carne asada tacos were way over cooked. The salsa and chips were fresh."
"8","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Shawnie K.","Columbus, OH",3,2008-12-24,"Every one I know (who likes Mexican food) goes ga-ga for El Vaquero. I'm definitely a fan, but I have to be craving a tamale or tacos to really appreciate eating here. The menu is rather pedestrian, with every combination of above-average Americanized mexican food. You got your tamales and fajitas and carnitas ... and also, Margaritas!I'm not big into tequila drinks, but many, many of my friends come here specifically for the Margaritas. Food is just a side though. I quite like them too, but the Mexican beer selections i quite good too!  The wine--- not so much...As for the service, Speedy Gonzales has nothing on these guys! When I want a fast meal, I go to this particular location. I can honestly say I have been in and out for a full meal in less than 20 minutes- and with no complaints."
"9","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Saskia S.","NY, NY",3,2009-01-10,"Tasty!Maybe not the most authentic Mexican food on the planet, but when you're craving something cheesy and or guacamole it hits the spot. Queso dip was tasty and the lunch chimichanga was a good deal."
"10","https://www.yelp.com/biz/el-vaquero-mexican-restaurant-columbus-10?start=0&sort_by=date_asc","Tobey S.","Columbus, OH",4,2009-02-19,"Great food, great atmosphere, and great service. The reason im not giving it 5 stars is because I have had much better mexican food, but this place is no slouch, it is still good food"
